I
1050 Generated by WorldEditor 2.1.0r1

1     96 0 0 PHUP Upolu
100 22.86 1 0 1.00 0 1 0 7  20.26405576 -155.86537898    0    0 1 0 0 0 25  20.26639970 -155.85455629    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 2
111  20.26495954 -155.85793170
111  20.26493154 -155.85792474
111  20.26497648 -155.85771372
113  20.26500406 -155.85772057
110 1 0.00 77.0000 New Taxiway 1
111  20.26417438 -155.86543768
111  20.26392484 -155.86537629
111  20.26393038 -155.86535074
111  20.26383572 -155.86523352
111  20.26386440 -155.86509963
111  20.26399128 -155.86507001
111  20.26546681 -155.85826878
112  20.26546681 -155.85826878  20.26541599 -155.85820860 102
111  20.26533542 -155.85819348
112  20.26533542 -155.85819348  20.26520745 -155.85816740 102
112  20.26509071 -155.85828954  20.26505024 -155.85839687
111  20.26509071 -155.85828954 102
111  20.26489301 -155.85824718
111  20.26495954 -155.85793170
111  20.26500406 -155.85772057
111  20.26497648 -155.85771372
111  20.26501138 -155.85753797
111  20.26504137 -155.85754368
111  20.26513957 -155.85751402 102
111  20.26525602 -155.85753514 102
111  20.26524715 -155.85758717 102
112  20.26534430 -155.85775000  20.26546192 -155.85779346
111  20.26534430 -155.85775000 102
111  20.26543592 -155.85777474 102
112  20.26557733 -155.85775933  20.26562908 -155.85772088
111  20.26557733 -155.85775933
111  20.26621809 -155.85480581
111  20.26611652 -155.85471889
111  20.26614365 -155.85457146
111  20.26627883 -155.85452586
111  20.26628384 -155.85450274
113  20.26652435 -155.85456172
130 Airport Boundary
111  20.26470593 -155.86627530
111  20.26307871 -155.86587457
111  20.26391413 -155.86094436
111  20.26503664 -155.85710500
111  20.26501474 -155.85685440
111  20.26510435 -155.85688128
111  20.26530411 -155.85438096
111  20.26514675 -155.85420892
111  20.26520474 -155.85355182
111  20.26712340 -155.85411710
111  20.26541642 -155.86129520
113  20.26543780 -155.86197905
120 Runway Hold
111  20.26517770 -155.85817307 54
115  20.26527493 -155.85771836
120 Linear Feature 9
111  20.26622790 -155.85481033 3 102
111  20.26611899 -155.85471746 3 102
111  20.26614622 -155.85457427 3 102
115  20.26629960 -155.85452203
120 Linear Feature 8
111  20.26393697 -155.86535214 3 102
111  20.26383895 -155.86523067 3 102
111  20.26386616 -155.86510368 3 102
115  20.26400882 -155.86506711
120 Linear Feature 7
111  20.26498811 -155.85820395 1
111  20.26495454 -155.85819636 1
115  20.26491760 -155.85818808
120 Linear Feature 6
111  20.26494429 -155.85824406 1
115  20.26495454 -155.85819636
120 Linear Feature 5
111  20.26510171 -155.85823034 1
111  20.26506767 -155.85822229 1
115  20.26503091 -155.85821359
120 Linear Feature 4
111  20.26505765 -155.85827072 1
115  20.26506767 -155.85822229
21  20.26576960 -155.85605581 2 256.9200 3.00 25 PAPI-L
21  20.26460083 -155.86394711 2 76.9200 3.00 7 PAPI-L
14  20.26491585 -155.85775932  30.00 0 Tower Viewpoint
1300  20.26495454 -155.85819636  77.05 tie_down turboprops|props Ramp GA 2
1301 A general_aviation 
1300  20.26506767 -155.85822229  77.56 tie_down turboprops|props Ramp GA 1
1301 A general_aviation 
18  20.26480966 -155.85870499 1 Airport Beacon
19  20.26452680 -155.86009101 1 New Windsock 1
99
